station_id,long_name,short_name
S05700,ABANO TERME,Abano T.
S01416,ABBADIA LARIANA,Abbadia Lariana
S12873,ABBASANTA,Abbasanta
S01728,ABBIATE GUAZZONE,Abbiate Guazzone
S01062,ABBIATEGRASSO,Abbiategrasso
S12409,ACATE,Acate
S07423,ACCIANO,Acciano
S09215,ACERRA,Acerra
S12328,ACIREALE,Acireale
S08715,ACQUA ACETOSA,Acqua Acetosa
S11722,ACQUAFREDDA,Acquafredda
S09798,ACQUAMELA,Acquamela
S01913,ACQUANEGRA CREMONESE,Acquanegra Crem.
S11736,ACQUAPPESA,Acquappesa
S07978,ACQUASPARTA,Acquasparta
S12209,ACQUAVIVA CASTELTERMINI,Acquaviva C.ni
S11504,ACQUAVIVA DELLE FONTI,Acquaviva
S12026,ACQUEDOLCI-S.FRATELLO,Acquedolci S.F.
S00867,ACQUI TERME,ACQUI TERME
S11907,ACRI BISIGNANO LUZZI,Acri Bisignano
S13098,ADELFIA,Adelfia
S05420,ADRIA,ADRIA
S11872,AFRICO NUOVO,Africo Nuovo
S00804,AGLIANO CASTELNUOVO CALCEA,Agliano C.C.
S00075,AGOGNATE,Agognate
S12213,AGRIGENTO BASSA,AGRIGENTO BASSA
S12216,AGRIGENTO CENTRALE,AGRIGENTO CENTR.
S11705,AGROPOLI CASTELLABATE,Agropoli
S08550,AIELLI,Aielli
S00514,AIRASCA,Airasca
S04481,AIROLE,Airole
S01515,AIRUNO,Airuno
S02049,ALA,Ala
S07708,ALANNO,Alanno
S02566,ALANO FENER VALDOBBIADENE,Alano Fener Val.
S04515,ALASSIO,Alassio
S00825,ALBA,Alba
S07800,ALBA ADRIATICA-NERETO-CONTROGUERRA,Alba Adriatica
S07207,ALBACINA,ALBACINA
S01059,ALBAIRATE-VERMEZZO,Albairate-Verme.
S11453,ALBANO DI LUCANIA,Albano Lucania
S08704,ALBANO LAZIALE,ALBANO LAZIALE
S01534,ALBANO S.ALESSANDRO,Albano S.Aless.
S09004,ALBANOVA,Albanova
S02538,ALBAREDO,Albaredo
S01450,ALBATE-TRECALLO,Albate-Trecallo
S04516,ALBENGA,Albenga
S08001,ALBERESE,Alberese
S06067,ALBERGO,Albergo
S13126,ALBEROBELLO,Alberobello
S08003,ALBINIA,Albinia
S04529,ALBISOLA,Albisola
S01209,ALBIZZATE SOLBIATE ARNO,Albizzate S.A.
S00033,ALBONESE,Albonese
S01863,ALBUZZANO,Albuzzano
S12150,ALCAMO DIRAMAZIONE,ALCAMO DIRAMAZ.
S12320,ALCANTARA,Alcantara
S00470,ALESSANDRIA,ALESSANDRIA
S13192,ALESSANO CORSANO,Alessano Corsano
S13171,ALEZIO,Alezio
S08908,ALFEDENA-SCONTRONE,Alfedena-Scontr
S05808,ALFONSINE,Alfonsine
S12310,ALI' TERME,Ali` Terme
S00809,ALICE BELCOLLE,Alice Belcolle
S09020,ALIFE,Alife
S08202,ALLERONA-CASTEL VISCARDO,Allerona
S00216,ALPIGNANO,Alpignano
S11307,ALTAMURA,Altamura
S04810,ALTARE,Altare
S09511,ALTAVILLA IRPINA,Altavilla Irpina
S12011,ALTAVILLA MILICIA,Altavilla
S02444,ALTAVILLA TAVERNELLE,Altavilla Tav.
S06407,ALTOPASCIO,Altopascio
S08206,ALVIANO,Alviano
S09023,ALVIGNANO,Alvignano
S11744,AMANTEA,Amantea
S01527,AMBIVERE MAPELLO,Ambivere Mapello
S11051,AMENDOLA,Amendola
S11807,AMENDOLARA ORIOLO,Amendolara Or.
S09306,AMOROSI MELIZZANO,Amorosi Mel.
S08658,ANAGNI-FIUGGI,Anagni-Fiuggi
S07113,ANCONA,ANCONA
S07116,ANCONA MARITTIMA,Ancona Mar.
S07114,ANCONA STADIO,Ancona Stadio
S07015,ANCONA TORRETTE,Ancona Torrette
S02141,ANCONETTA,Anconetta
S04525,ANDORA,Andora
S13188,ANDRANO-CASTIGLIONE,Andrano-Castigl.
S09031,ANFITEATRO,Anfiteatro
S09812,ANGRI,Angri
S08318,ANGUILLARA,Anguillara
S11870,ANNA',Anna
S02769,ANNONE VENETO,Annone Veneto
S06727,ANTIGNANO,Antignano
S07408,ANTRODOCO BORGO VELINO,Antrodoco B.V.
S07435,ANTRODOCO CENTRO,Antrodoco Centro
S08537,ANVERSA-VILLALAGO-SCANNO,Anversa V. S.
S01453,ANZANO DEL PARCO,Anzano del Parco
S08709,ANZIO,Anzio
S08713,ANZIO COLONIA,Anzio Colonia
S05386,ANZOLA DELL'EMILIA,Anzola Emilia
S00137,AOSTA,AOSTA
S00143,AOSTA ISTITUTO,Aosta Istituto
S00146,AOSTA VIALE EUROPA,Aosta V.Europa
S09314,APICE S.ARCANGELO BONITO,Apice S.A.B.
S08328,APPIANO,Appiano
S11024,APRICENA,Apricena
S11675,APRICENA CITTA',APRICENA CITTA`
S08705,APRILIA,Aprilia
S09623,AQUILONIA,Aquilonia
S12370,ARAGONA CALDARE,ARAGONA CALDARE
S06811,ARBIA,Arbia
S09838,ARBOSTELLA,Arbostella
S08861,ARCE,Arce
S07992,ARCHI,Archi
S01203,ARCISATE,Arcisate
S06006,ARCOLA,Arcola
S01510,ARCORE,Arcore
S12817,ARDARA,Ardara
S01427,ARDENNO MASINO,Ardenno Masino
S11853,ARDORE,Ardore
S09839,ARECHI,Arechi
S01947,ARENA PO,Arena Po
S04533,ARENZANO,Arenzano
S06915,AREZZO,AREZZO
S06086,AREZZO CASELLO 1,Arezzo Casello 1
S06063,AREZZO PESCAIOLA,AREZZO PESCAIOLA
S05804,ARGENTA,Argenta
S09316,ARIANO IRPINO,Ariano Irpino
S01020,ARONA,ARONA
S01092,AROSIO,Arosio
S09017,ARPAIA,Arpaia
S08859,ARPINO,Arpino
S05707,ARQUA',Arqua`
S04207,ARQUATA SCRIVIA,ARQUATA SCRIVIA
S08516,ARSOLI,Arsoli
S03021,ARTEGNA,Artegna
S01779,ARTOGNE - GIANICO,Artogne - Giani.
S00134,ARVIER,Arvier
S02841,ARZERGRANDE,Arzergr.
S11711,ASCEA,Ascea
S06813,ASCIANO,ASCIANO
S06825,ASCIANO MONTE OLIVETO MAGGIORE,Asciano M.O.M.
S07550,ASCOLI PICENO,ASCOLI P.
S11203,ASCOLI SATRIANO,Ascoli Satriano
S01847,ASOLA,Asola
S12889,ASSEMINI,Assemini
S12809,ASSEMINI CARMINE,Assemini Carmine
S12808,ASSEMINI S.LUCIA,Assemini S.Lucia
S07008,ASSISI,Assisi
S01101,ASSO,ASSO
S00462,ASTI,ASTI
S07998,ATELETA,Ateleta
S09904,ATENA,Atena
S08207,ATTIGLIANO-BOMARZO,ATTIGLIANO
S12345,AUGUSTA,Augusta
S09902,AULETTA,Auletta
S06168,AULLA,Aulla
S06013,AULLA LUNIGIANA,AULLA LUNIGIANA
S03550,AURISINA,Aurisina
S09514,AVELLINO,AVELLINO
S09006,AVERSA,AVERSA
S08526,AVEZZANO,AVEZZANO
S03087,AVIANO,Aviano
S00214,AVIGLIANA,Avigliana
S11214,AVIGLIANO LUCANIA,Avigliano Luc.
S02050,AVIO,Avio
S00133,AVISE,Avise
S12426,AVOLA,Avola
S11499,BA POLICLINICO,Ba Policlinico
S06081,BACIANO,Baciano
S03118,BADEN,Baden
S06826,BADESSE,Badesse
S02370,BADIA POLESINE,Badia Polesine
S11841,BADOLATO,Badolato
S05186,BAGGIOVARA OSPEDALE,Baggiovara Osp.
S12008,BAGHERIA,Bagheria
S05902,BAGNACAVALLO,Bagnacavallo
S11770,BAGNARA,Bagnara
S03123,BAGNARIA ARSA,Bagnaria Arsa
S00921,BAGNASCO,Bagnasco
S06308,BAGNI DI LUCCA,Bagni di Lucca
S08504,BAGNI DI TIVOLI,Bagni di Tivoli
S09102,BAGNOLI AGNANO TERME,Bagnoli Agnano T
S09613,BAGNOLI IRPINO,Bagnoli Irpino
S13196,BAGNOLO DEL SALENTO,Bagnolo del Sal.
S05946,BAGNOLO IN PIANO,Bagnolo in Piano
S01901,BAGNOLO MELLA,Bagnolo Mella
S07224,BAIANO DI SPOLETO,Baiano di S.
S00094,BALANGERO,Balangero
S07964,BALANZANO,Balanzano
S03418,BALATONFOELDVAR,Balatonfoeldvar
S03459,BALATONLELLE,Balatonlelle
S03566,BALATONSZENTGYORGY,Balatonszent.gy
S00460,BALDICHIERI-TIGLIOLE,Baldichieri
S12122,BALESTRATE,Balestrate
S08856,BALSORANO,Balsorano
S09830,BALVANO RICIGLIANO,Balvano R.
S00178,BALZOLA,Balzola
S00732,BANDITO,Bandito
S09832,BARAGIANO-RUOTI,Baragiano
S09458,BARANELLO,Baranello
S01741,BARASSO - COMERIO,Barasso-Comerio
S06806,BARBERINO DI VAL D'ELSA,Barberino V.E
S01932,BARBIANELLO,Barbianello
S05905,BARBIANO,Barbiano
S12971,BARBUSI,Barbusi
S12041,BARCELLONA-CASTROREALE,Barcellona
S05929,BARCO,BARCO
S00202,BARDONECCHIA,BARDONECCHIA
S06303,BARGA GALLICANO,Barga-Gallicano
S13094,BARI CEGLIE-CARBONARA,Bari C.Carbonara
S11119,BARI CENTRALE,BARI C.LE
S13095,BARI LA FITTA,BARI L.FITTA
S11118,BARI PALESE MACCHIE,Bari Palese M.
S11148,BARI PARCO NORD,Bari Parco Nord
S11149,BARI PARCO NORD FASCIO TARANTO,Bari PN F.Ta
S11125,BARI PARCO SUD,Bari Parco Sud
S11513,BARI S.ANDREA,Bari S.Andrea
S11150,BARI S.GIORGIO,Bari S.Giorgio
S11116,BARI S.SPIRITO,Bari S.Spirito
S13092,BARI SUD EST,Bari Sud Est
S11126,BARI TORRE A MARE,Ba.Torre a Mare
S11004,BARI TORRE QUETTA,Bari Torre Q.
S11003,BARI VILLAGGIO DEL LAVORATORE,Bari Vill.Lavor.
S11120,BARI ZONA INDUSTRIALE,Ba.Zona Ind.le
S05419,BARICETTA,Baricetta
S11208,BARILE,Barile
S01926,BARLASSINA,Barlassina
S11108,BARLETTA,BARLETTA
S09520,BARONISSI,Baronissi
S08204,BASCHI-MONTECCHIO,Baschi Montecc.
S02832,BASILIANO,Basiliano
S02520,BASSANO DEL GRAPPA,BASSANO DEL GR.
S08208,BASSANO IN TEVERINA,Bassano Teverina
S08312,BASSANO ROMANO,Bassano Romano
S07007,BASTIA,Bastia
S00908,BASTIA MONDOVI`,Bastia Mondovi'
S05702,BATTAGLIA TERME,Battaglia T.
S09823,BATTIPAGLIA,BATTIPAGLIA
S12875,BAULADU MILIS,Bauladu Milis
S01015,BAVENO,Baveno
S00807,BAZZANA,Bazzana
S07436,BAZZANO,Bazzano
S05975,BAZZANO (FER),Bazzano (FER)
S00203,BEAULARD,Beaulard
S07422,BEFFI,Beffi
S00901,BEINETTE,Beinette
S01864,BELGIOIOSO,Belgioioso
S01017,BELGIRATE,Belgirate
S09831,BELLA MURO,Bella Muro
S01409,BELLANO TARTAVALLE TERME,Bellano T.Terme
S07902,BELLANTE RIPATTONE,Bellante Ripat.
S05817,BELLARIA,Bellaria
S11512,BELLAVISTA,Bellavista
S00985,BELLINZAGO,Bellinzago
S00300,BELLINZONA,Bellinzona
S07061,BELLISIO SOLFARE,Bellisio Solfare
S02559,BELLUNO,BELLUNO
S11743,BELMONTE CALABRO,Belmonte
S11732,BELVEDERE MARITTIMO,Belvedere M.
S09311,BENEVENTO,BENEVENTO
S09472,BENEVENTO ACQUAFREDDA,BN Acquafredda
S09011,BENEVENTO APPIA,BENEVENTO APPIA
S09530,BENEVENTO ARCO TRAIANO,Benev.to Arco Tr
S09509,BENEVENTO PORTA RUFINA,B.vento P.Rufina
S09012,BENEVENTO RIONE LIBERTA',BN Rion. Liberta
S06158,BERCETO,Berceto
S12859,BERCHIDDA,Berchidda
S00838,BERGAMASCO,Bergamasco
S01529,BERGAMO,BERGAMO
S11460,BERNALDA,Bernalda
S01488,BESANA,Besana
S01145,BESNATE,Besnate
S01141,BESOZZO,Besozzo
S01007,BEURA CARDEZZA,Beura Cardezza
S04482,BEVERA,Bevera
S02391,BEVILACQUA,Bevilacqua
S05119,BIAGIONI LAGACCI,Biagioni Lagacci
S11855,BIANCO,Bianco
S00238,BIANZE',BIANZE'
S01438,BIANZONE,Bianzone
S01483,BIASSONO-LESMO PARCO,Biassono-Lesmo P
S05927,BIBBIANO,Bibbiano
S05926,BIBBIANO VIA MONTI,Bibbiano M.
S06076,BIBBIENA,Bibbiena
S06077,BIBBIENA CORSALONE,Bibbiena Corsal.
S00522,BIBIANA,Bibiana
S12338,BICOCCA,BICOCCA
S00970,BIELLA CHIAVAZZA,Biella Chiavazza
S00070,BIELLA S.PAOLO,BIELLA S.PAOLO
S06611,BIFORCO,Biforco
S11113,BISCEGLIE,Bisceglie
S00870,BISTAGNO,Bistagno
S01202,BISUSCHIO-VIGGIU',Bisuschio Viggiu
S11501,BITETTO PALO DEL COLLE,Bitetto
S11252,BITRITTO,BITRITTO
S03313,BIVIO D'AURISINA,BIVIO D`AURISINA
S01778,BOARIO TERME,Boario Terme
S09763,BOCCIA AL MAURO,Boccia al Mauro
S04709,BOGLIASCO,Bogliasco
S09453,BOIANO,Boiano
S02839,BOJON,Bojon
S06028,BOLGHERI,Bolgheri
S01071,BOLLATE CENTRO,Bollate Centro
S01072,BOLLATE NORD,Bollate Nord
S05100,BOLOGNA BORGO PANIGALE,Borgo Panigale
S05046,BOLOGNA C.LE/AV,BOLOGNA C. LE
S05043,BOLOGNA CENTRALE,BOLOGNA C.LE
S05725,BOLOGNA CORTICELLA,Bo.Corticella
S05020,BOLOGNA FIERE,BOLOGNA FIERE
S05140,BOLOGNA MAZZINI,Bologna Mazzini
S05042,BOLOGNA RAVONE,BO Ravone
S05989,BOLOGNA RIMESSE,Bo Rimesse
S05130,BOLOGNA S.RUFFILLO,S.RUFFILLO
S05081,BOLOGNA S.VITALE,Bologna S.Vitale
S05991,BOLOGNA VIA LARGA,Bo via Larga
S05086,BOLOGNA ZANARDI,Bologna Zanardi
S02026,BOLZANO,BOLZANO / Bozen
S02059,BOLZANO CASANOVA,Bolzano Casanova
S00014,BOLZANO NOVARESE,Bolzano Novarese
S02226,BOLZANO SUD,Bolzano Sud / Bozen Sud
S07993,BOMBA TORRICELLA,Bomba Torricella
S04730,BONASSOLA,Bonassola
S05165,BONDENO,Bondeno
S09464,BONEFRO S.CROCE,Bonefro S.Croce
S02383,BONFERRARO,Bonferraro
S12867,BONORVA,Bonorva
S04503,BORDIGHERA,Bordighera
S05963,BORETTO,Boretto
S00086,BORGARO,Borgaro
S06100,BORGHETTO PARMENSE,Borghetto Parm.
S04518,BORGHETTO S.SPIRITO,Borghetto S.S.
S02051,BORGHETTO SULL'ADIGE,Borghetto
S04521,BORGIO VEREZZI,Borgio Verezzi
S09526,BORGO,Borgo
S06410,BORGO A BUGGIANO,Borgo a Buggiano
S06309,BORGO A MOZZANO,Borgo a Mozzano
S04214,BORGO FORNARI PER VOLTAGGIO,Borgo Fornari
S00032,BORGO LAVEZZARO,Borgo Lavezzaro
S00171,BORGO REVEL,Borgo Revel
S00613,BORGO S.DALMAZZO,Borgo S.Dalmazzo
S06604,BORGO S.LORENZO,BORGO S.L.
S06704,BORGO S.LORENZO RIMORELLI,Borgo S.L.Rimor.
S00315,BORGO S.MARTINO,Borgo S.Martino
S00981,BORGO TICINO,Borgo Ticino
S06161,BORGO VAL DI TARO,Borgo Val Taro
S02313,BORGO VALSUGANA CENTRO,Borgo Valsug.C.
S02314,BORGO VALSUGANA EST,Borgo Valsug.E.
S00246,BORGO VERCELLI,Borgo Vercelli
S02021,BORGOCHIESANUOVA,Borgochiesanuova
S02338,BORGOFORTE,Borgoforte
S00152,BORGOFRANCO,Borgofranco
S01830,BORGOLOMBARDO,Borgolombardo
S00016,BORGOMANERO,BORGOMANERO
S01788,BORGONATO - ADRO,Borgonato - Adro
S00210,BORGONE,Borgone
S05152,BORGONUOVO,Borgonuovo
S00860,BORGORATTO,Borgoratto
S00104,BORGOSESIA,Borgosesia
S01789,BORNATO - CALINO,Bornato - Calino
S12872,BORORE,Borore
S02390,BOSCHI S.ANNA,Boschi S.Anna
